Beetle,Rf_TOT,Rf_NIR,Rf_VIS,Td_TOT,Td_NIR,Td_VIS,Tv_TOT,Tv_NIR,Tv_VIS,Ab_TOT,Ab_NIR,Ab_VIS,side,size,DT5_TOT,DT5_NIR,DT5_VIS,maxHRTOT,maxHRNIR,maxHRVIS
rpmt1,18.57516509,27.9459083,7.651941179,20.58459138,36.11207842,1.864692918,20.75009714,36.35649254,1.929042979,60.84024353,35.94201328,90.4833659,A,2.050333333,5.1,2,1.5,0.11,0.035,0.035
smgd1,19.76748157,31.98055872,5.57583156,20.09639214,32.4303748,4.409409159,17.3025303,27.70189015,4.036024026,60.1361263,35.58906648,90.01475928,A,1.82225,4.6,1.9,1.5,0.08,0.03,0.03
smgd2,29.08780797,49.11810949,5.010266455,7.044359902,11.84837321,1.073538875,11.3400357,18.57909881,2.221945636,63.86783213,39.0335173,93.91619467,B,1.82225,4.6,1.7,1.5,0.055,0.03,0.025
tars1,37.10723221,53.7387165,16.18057792,14.93303533,21.70746742,6.290378194,14.66107636,21.31039792,6.179770369,47.95973246,24.55381608,77.52904389,A,2.903666667,4.3,1.7,1.3,0.06,0.02,0.02
tars2,32.57625937,46.73488334,14.40502214,12.47328461,18.03449314,5.448823354,13.02709632,18.98308848,5.503711822,54.95045602,35.23062352,80.1461545,B,2.903666667,4.1,1.6,1.2,0.06,0.015,0.02
vrid1,26.2950442,38.0245732,12.21877276,21.17336536,31.48923768,7.912276515,23.53786204,34.63878628,9.17050256,52.53159044,30.48618913,79.86895072,A,3.094,5,2,1.9,0.09,0.03,0.03
vrid2,32.65300216,48.88801992,12.97479656,4.693177833,7.546203614,1.097529049,4.738769211,7.646424873,1.071973617,62.65382001,43.56577646,85.92767439,B,3.094,4.6,1.8,1.6,0.065,0.02,0.02
xyln1,22.53418864,38.17865218,3.841204059,28.77905521,42.22338876,12.20643866,29.32636308,43.47524616,11.95815321,48.68675615,19.59795906,83.95235728,A,2.345,4.5,1.6,1.5,0.075,0.025,0.025
xyln2,58.99433537,86.60545878,25.50466186,2.323015168,3.971540443,0.359511644,2.248461083,3.813524701,0.379347964,38.68264947,9.423000779,74.1358265,B,2.345,3.2,1.1,1.1,0.045,0.015,0.025
xyln3,45.99050294,74.60580053,12.36360024,3.116637858,5.563170498,0.239470578,3.135609787,5.583045665,0.254491759,50.8928592,19.83102898,87.39692919,A,2.345,4.5,1.4,1.5,0.065,0.015,0.02
