wl,xyln1b,fchi1b,xyln2b,xyln3b,anom1b,anom2b,atki1b,atki2b,fchi2b,gray1b,gray2b,mcla1b,rayn1b,rayn2b,rpan1b,rpmm1b,rpmt1b,aurs2b,aurs1b,clor1b,clor2b,conc1b,conc2b,hirs1b,hirs2b,prsi1b,prsi2b,prsi3b,mclm1b,mclm2b,narm1b,narm2b,smgd1b,smgd2b,pali1b,pali2b,ocul1b,ocul2b,tars1b,vrid1b,vrid2b,opal1b,rose1b,lats1b,lats2b,pvul1b,pvul2b,ecry1b,ecry2b,poro1b,poro2b,ppsi1b,ppsi2b,tars2b,oliv2b,oliv1b
814,40.80884615,4.926153846,2.713461538,3.349615385,50.87692308,28.85,26.10346154,9.338461538,19.01769231,8.590769231,8.017307692,7.022307692,28.67192308,33.03346154,9.683461538,15.91153846,25.26538462,17.90346154,17.98846154,37.29423077,12.30730769,49.96423077,34.77884615,30.80923077,26.05346154,2.105,2.918846154,2.224230769,6.871923077,9.1,11.71461538,17.545,24.64192308,15.21,10.33807692,12.15076923,31.62615385,30.62230769,17.14653846,30.57153846,6.332307692,26.775,20.88423077,14.68576923,16.33115385,31.63884615,44.91346154,39.47769231,32.87346154,25.28307692,7.369230769,22.10653846,24.38615385,14.56307692,17.49884615,43.67192308
816,40.77,5.000769231,2.701538462,3.351153846,51.05576923,29.01538462,26.26961538,9.403076923,19.17538462,8.584615385,8.006153846,7.012692308,28.84423077,33.15576923,9.777307692,16.02846154,25.40769231,18.04769231,18.16423077,37.32576923,12.28,49.91730769,34.67423077,30.74,26.09192308,2.093846154,2.9,2.213461538,6.856538462,9.077307692,11.71576923,17.55346154,24.64153846,15.23615385,10.32461538,12.13115385,31.58923077,30.63615385,17.08961538,30.56153846,6.315,26.78346154,21.18884615,14.66423077,16.41961538,31.89038462,45.22730769,39.51846154,32.99346154,25.23153846,7.344230769,22.11269231,24.33961538,14.52307692,17.33692308,43.53846154
818,40.66666667,5.107037037,2.664074074,3.335185185,51.23407407,29.34185185,26.44740741,9.43,19.39814815,8.526296296,7.92962963,6.961481481,29.05814815,33.26111111,9.872222222,16.10555556,25.45037037,18.28185185,18.42555556,37.34074074,12.17703704,49.78222222,34.34444444,30.50185185,26.18666667,2.061481481,2.857777778,2.18,6.793703704,8.996296296,11.65777778,17.54925926,24.56888889,15.26518519,10.24,12.03740741,31.44703704,30.6562963,16.87296296,30.43666667,6.24,26.70962963,21.53,14.54518519,16.4237037,32.24518519,45.68185185,39.46037037,33.09740741,25.04037037,7.252222222,22.05555556,24.23037037,14.36888889,16.81407407,43.15888889
820,40.66,5.231538462,2.636923077,3.328076923,51.45653846,29.68846154,26.65192308,9.474615385,19.63846154,8.490769231,7.875769231,6.932692308,29.30615385,33.39807692,9.982307692,16.21038462,25.52653846,18.52730769,18.69192308,37.39884615,12.10692308,49.71846154,34.09269231,30.33346154,26.29846154,2.033076923,2.823461538,2.151538462,6.748076923,8.941538462,11.62153846,17.57423077,24.53692308,15.31692308,10.18038462,11.97653846,31.36192308,30.70961538,16.71192308,30.37807692,6.186923077,26.68346154,21.9,14.455,16.47307692,32.625,46.10615385,39.44538462,33.23230769,24.89576923,7.181153846,22.03307692,24.17615385,14.25769231,16.34461538,42.83846154
822,40.71192308,5.338846154,2.625,3.330384615,51.67384615,29.955,26.84846154,9.540769231,19.84692308,8.487307692,7.86,6.927307692,29.53961538,33.54769231,10.09769231,16.34230769,25.64846154,18.73692308,18.92576923,37.47884615,12.08730769,49.72,33.98153846,30.27576923,26.39307692,2.019230769,2.806153846,2.134615385,6.734615385,8.926538462,11.62038462,17.61807692,24.55923077,15.375,10.17076923,11.96576923,31.34884615,30.77692308,16.65538462,30.39269231,6.170384615,26.70923077,22.26076923,14.41346154,16.58538462,32.98076923,46.41807692,39.48346154,33.37769231,24.83230769,7.150769231,22.05076923,24.18307692,14.21769231,16.07461538,42.66346154
824,40.74269231,5.43,2.619615385,3.333076923,51.86769231,30.16615385,27.02384615,9.611923077,20.02884615,8.489615385,7.851538462,6.923461538,29.74423077,33.68,10.21038462,16.47615385,25.77615385,18.92346154,19.13923077,37.54038462,12.08153846,49.72884615,33.90923077,30.24115385,26.46807692,2.012307692,2.797692308,2.127307692,6.728846154,8.919230769,11.62538462,17.65384615,24.58923077,15.425,10.17076923,11.95730769,31.33461538,30.83230769,16.62153846,30.40807692,6.159230769,26.73423077,22.61153846,14.385,16.71769231,33.33230769,46.68846154,39.52615385,33.515,24.79230769,7.135384615,22.06961538,24.20230769,14.19692308,15.88807692,42.54384615
826,40.85923077,5.515384615,2.641153846,3.354615385,52.10076923,30.28230769,27.21384615,9.720384615,20.17807692,8.54,7.901153846,6.961153846,29.93730769,33.83846154,10.34,16.65807692,25.99769231,19.06038462,19.295,37.63192308,12.14692308,49.83576923,34.03384615,30.35807692,26.51076923,2.026923077,2.812307692,2.143076923,6.761538462,8.964615385,11.68115385,17.70730769,24.69,15.48576923,10.22884615,12.01653846,31.40923077,30.89538462,16.72,30.53269231,6.2,26.83384615,22.97346154,14.44230769,16.95,33.66692308,46.86538462,39.67115385,33.68923077,24.88115385,7.184230769,22.155,24.3,14.28576923,15.99230769,42.64038462
828,41.02846154,5.582692308,2.692692308,3.397692308,52.38884615,30.26384615,27.44884615,9.89,20.29230769,8.652692308,8.020769231,7.047307692,30.10884615,34.03538462,10.505,16.925,26.37538462,19.15961538,19.39538462,37.74384615,12.29730769,50.02615385,34.39192308,30.64115385,26.50461538,2.068076923,2.854615385,2.182307692,6.844615385,9.076153846,11.81038462,17.77923077,24.88269231,15.56076923,10.36461538,12.15884615,31.59076923,30.95038462,16.98807692,30.77538462,6.3,27.02153846,23.40692308,14.59076923,17.32115385,34.03269231,46.93923077,39.95384615,33.92269231,25.11884615,7.306538462,22.32230769,24.46461538,14.50153846,16.47807692,42.99307692
830,41.08192308,5.624615385,2.722692308,3.422307692,52.58269231,30.23846154,27.62153846,10.01769231,20.37846154,8.726153846,8.092307692,7.098461538,30.22730769,34.17269231,10.62884615,17.11884615,26.65307692,19.25269231,19.47115385,37.80153846,12.38653846,50.10923077,34.60884615,30.79846154,26.48653846,2.093461538,2.880769231,2.208846154,6.894615385,9.142307692,11.89538462,17.81653846,25.00846154,15.60769231,10.44923077,12.24115385,31.69,30.96846154,17.15346154,30.91038462,6.361538462,27.13192308,23.75346154,14.68076923,17.56461538,34.34615385,47.01807692,40.14653846,34.08846154,25.26384615,7.384615385,22.43115385,24.55,14.63769231,16.81192308,43.22
832,41.105,5.672692308,2.743461538,3.439230769,52.765,30.24307692,27.78038462,10.13115385,20.47346154,8.781538462,8.145,7.138461538,30.35153846,34.29884615,10.74,17.28769231,26.89923077,19.36115385,19.54730769,37.84692308,12.44692308,50.15538462,34.75576923,30.89884615,26.47384615,2.108461538,2.900384615,2.23,6.928076923,9.188076923,11.95653846,17.84076923,25.10038462,15.64461538,10.50538462,12.29346154,31.73961538,30.98307692,17.26269231,31.00230769,6.406923077,27.21461538,24.08461538,14.74653846,17.74,34.65153846,47.11769231,40.29269231,34.22807692,25.35807692,7.438846154,22.51153846,24.60423077,14.73461538,17.05423077,43.38807692
